"Points","200m","300m","400m","500m","4x200m","4x400m"
"1050","24.36","39.09","54.93","1:12.23","1:39.25","3:43.72"
"1049","24.37","39.11","54.95","1:12.26","1:39.30","3:43.85"
"1048","24.38","39.13","54.98","1:12.30","1:39.36","3:43.97"
"1047","24.39","39.15","55.01","1:12.34","1:39.41","3:44.09"
"1046","24.41","39.17","55.04","1:12.38","1:39.46","3:44.22"
"1045","24.42","39.19","55.06","1:12.41","1:39.52","3:44.34"
"1044","24.43","39.21","55.09","1:12.45","1:39.57","3:44.47"
"1043","24.44","39.23","55.12","1:12.49","1:39.62","3:44.59"
"1042","24.45","39.25","55.14","1:12.52","1:39.68","3:44.72"
"1041","24.46","39.27","55.17","1:12.56","1:39.73","3:44.84"
"1040","24.47","39.28","55.20","1:12.60","1:39.79","3:44.96"
"1039","24.48","39.30","55.23","1:12.64","1:39.84","3:45.09"
"1038","24.49","39.32","55.25","1:12.67","1:39.89","3:45.21"
"1037","24.50","39.34","55.28","1:12.71","1:39.95","3:45.34"
"1036","24.52","39.36","55.31","1:12.75","1:40.00","3:45.46"
"1035","24.53","39.38","55.34","1:12.79","1:40.06","3:45.59"
"1034","24.54","39.40","55.36","1:12.82","1:40.11","3:45.71"
"1033","24.55","39.42","55.39","1:12.86","1:40.16","3:45.84"
"1032","24.56","39.44","55.42","1:12.90","1:40.22","3:45.96"
"1031","24.57","39.46","55.45","1:12.94","1:40.27","3:46.09"
"1030","24.58","39.48","55.47","1:12.98","1:40.33","3:46.21"
"1029","24.59","39.49","55.50","1:13.01","1:40.38","3:46.34"
"1028","24.60","39.51","55.53","1:13.05","1:40.44","3:46.46"
"1027","24.62","39.53","55.55","1:13.09","1:40.49","3:46.59"
"1026","24.63","39.55","55.58","1:13.13","1:40.54","3:46.71"
"1025","24.64","39.57","55.61","1:13.16","1:40.60","3:46.84"
"1024","24.65","39.59","55.64","1:13.20","1:40.65","3:46.96"
"1023","24.66","39.61","55.66","1:13.24","1:40.71","3:47.09"
"1022","24.67","39.63","55.69","1:13.28","1:40.76","3:47.22"
"1021","24.68","39.65","55.72","1:13.31","1:40.82","3:47.34"
"1020","24.69","39.67","55.75","1:13.35","1:40.87","3:47.47"
"1019","24.71","39.69","55.78","1:13.39","1:40.92","3:47.59"
"1018","24.72","39.71","55.80","1:13.43","1:40.98","3:47.72"
"1017","24.73","39.73","55.83","1:13.47","1:41.03","3:47.84"
"1016","24.74","39.75","55.86","1:13.50","1:41.09","3:47.97"
"1015","24.75","39.76","55.89","1:13.54","1:41.14","3:48.10"
"1014","24.76","39.78","55.91","1:13.58","1:41.20","3:48.22"
"1013","24.77","39.80","55.94","1:13.62","1:41.25","3:48.35"
"1012","24.78","39.82","55.97","1:13.66","1:41.31","3:48.48"
"1011","24.79","39.84","56.00","1:13.69","1:41.36","3:48.60"
