"Points","100m","100mH","200m","300m","400m","400mH","4x100m","4x200m","4x400m"
"865","12.66","15.25","25.85","41.84","59.18","1:05.60","50.87","1:47.69","4:04.67"
"864","-","15.26","25.86","41.86","59.21","1:05.63","50.90","1:47.75","4:04.81"
"863","12.67","15.27","25.88","41.88","59.24","1:05.67","50.92","1:47.81","4:04.94"
"862","-","15.28","25.89","41.90","59.27","1:05.71","50.95","1:47.87","4:05.08"
"861","12.68","15.29","25.90","41.92","59.30","1:05.74","50.98","1:47.93","4:05.22"
"860","-","15.30","25.91","41.94","59.33","1:05.78","51.01","1:47.99","4:05.35"
"859","12.69","-","25.92","41.96","59.36","1:05.82","51.03","1:48.05","4:05.49"
"858","-","15.31","25.93","41.98","59.39","1:05.86","51.06","1:48.11","4:05.62"
"857","12.70","15.32","25.94","42.01","59.42","1:05.89","51.09","1:48.17","4:05.76"
"856","12.71","15.33","25.96","42.03","59.45","1:05.93","51.12","1:48.23","4:05.90"
"855","-","15.34","25.97","42.05","59.48","1:05.97","51.14","1:48.29","4:06.03"
"854","12.72","15.35","25.98","42.07","59.50","1:06.01","51.17","1:48.35","4:06.17"
"853","-","15.36","25.99","42.09","59.53","1:06.04","51.20","1:48.41","4:06.31"
